"Designator","Mid X","Mid Y","Layer","Rotation"
"P1","91.44mm","-104.14mm","top","0.0"
"P2","115.57mm","-58.42mm","top","0.0"
"P4","115.57mm","-124.46mm","top","0.0"
"P3","115.57mm","-81.28mm","top","0.0"
"J2","164.35mm","-71.51mm","top","90.0"
"U7","173.2259mm","-110.46mm","top","0.0"
"U9","141.2125mm","-126.95mm","top","270.0"
"J1","158.09mm","-88.84mm","top","0.0"
"J3","174.64mm","-66.4mm","top","90.0"
"C4","139.08mm","-81.74mm","top","0.0"
"U4","133.3mm","-89.25mm","top","270.0"
"JP1","142.91mm","-66.73mm","top","0.0"
"U2","131.88mm","-137.935mm","top","270.0"
"C7","182.72mm","-80.5mm","top","0.0"
"C3","133.39mm","-96.64mm","top","0.0"
"U10","143.9925mm","-100.16mm","top","270.0"
"C9","144.31mm","-95.62mm","top","180.0"
"C10","141.51mm","-132.61mm","top","-90.0"
"U3","130.555mm","-70.275mm","top","270.0"
"C1","169.49mm","-67.4mm","top","-90.0"
"C6","131.95mm","-130.35mm","top","0.0"
"C2","130.7mm","-77.33mm","top","0.0"
"J4","175.05mm","-141.14mm","top","90.0"
"U1","133.8375mm","-113.3mm","top","270.0"
"C8","143.56mm","-105.27mm","top","0.0"
"J5","145.51mm","-141.24mm","top","90.0"
"C5","134.25mm","-120.79mm","top","180.0"
"J6","158.29mm","-114.17mm","top","0.0"
"U8","142.67mm","-75.88mm","top","270.0"
