"Designator","Mid X","Mid Y","Layer","Rotation"
"P1","91.44mm","-104.14mm","top","0.0"
"P2","115.57mm","-58.42mm","top","0.0"
"P4","115.57mm","-124.46mm","top","0.0"
"P3","115.57mm","-81.28mm","top","0.0"
"J2","166.255mm","-115.07mm","top","90.0"
"U7","174.48mm","-82.47mm","top","0.0"
"U9","141.2125mm","-126.95mm","top","270.0"
"J1","158.79mm","-61.35mm","top","0.0"
"J3","157.73mm","-89.27mm","top","0.0"
"C4","139.08mm","-81.74mm","top","0.0"
"U4","133.3mm","-89.25mm","top","270.0"
"JP1","142.91mm","-66.73mm","top","0.0"
"U2","131.88mm","-137.935mm","top","270.0"
"C7","189mm","-66.96mm","top","90.0"
"C3","133.39mm","-96.64mm","top","0.0"
"U10","143.9925mm","-100.16mm","top","270.0"
"C9","144.29mm","-92.72mm","top","180.0"
"C10","141.51mm","-134.37mm","top","-90.0"
"U3","130.555mm","-70.275mm","top","270.0"
"C1","146.57mm","-64.57mm","top","90.0"
"C6","131.95mm","-130.35mm","top","0.0"
"C2","130.7mm","-77.33mm","top","0.0"
"J4","175.05mm","-141.14mm","top","90.0"
"U1","133.8375mm","-113.3mm","top","270.0"
"C8","143.43mm","-106.71mm","top","0.0"
"J5","145.51mm","-141.24mm","top","90.0"
"C5","134.25mm","-120.79mm","top","180.0"
"J6","155.55mm","-112.2mm","top","0.0"
"U8","142.67mm","-75.88mm","top","270.0"
